"Electricity Read Date","Electricity Consumption","Electricity Consumption Estimated","Gas Consumption","Gas Consumption Estimated"
"30-10-2018 00:00:00",0.08,N,0.00,N
"30-10-2018 00:30:00",0.05,N,0.00,N
"30-10-2018 01:00:00",0.07,N,0.00,N
"30-10-2018 01:30:00",0.02,N,0.00,N
"30-10-2018 02:00:00",0.05,N,0.00,N
"30-10-2018 02:30:00",0.01,N,0.00,N
"30-10-2018 03:00:00",0.03,N,0.00,N
"30-10-2018 03:30:00",0.02,N,0.00,N
"30-10-2018 04:00:00",0.01,N,0.00,N
"30-10-2018 04:30:00",0.05,N,0.00,N
"30-10-2018 05:00:00",0.02,N,0.00,N
"30-10-2018 05:30:00",0.03,N,0.00,N
"30-10-2018 06:00:00",0.04,N,0.00,N
"30-10-2018 06:30:00",0.02,N,0.00,N
"30-10-2018 07:00:00",0.05,N,1.87,N
"30-10-2018 07:30:00",0.08,N,5.24,N
"30-10-2018 08:00:00",0.10,N,3.85,N
"30-10-2018 08:30:00",0.12,N,4.30,N
"30-10-2018 09:00:00",0.08,N,2.59,N
"30-10-2018 09:30:00",0.06,N,2.17,N
"30-10-2018 10:00:00",0.08,N,2.31,N
"30-10-2018 10:30:00",0.05,N,1.11,N
"30-10-2018 11:00:00",0.04,N,1.16,N
"30-10-2018 11:30:00",0.28,N,0.70,N
"30-10-2018 12:00:00",0.05,N,0.00,N
"30-10-2018 12:30:00",0.06,N,0.00,N
"30-10-2018 13:00:00",0.08,N,0.00,N
"30-10-2018 13:30:00",0.05,N,0.00,N
"30-10-2018 14:00:00",0.07,N,0.00,N
"30-10-2018 14:30:00",0.06,N,0.00,N
"30-10-2018 15:00:00",0.04,N,0.26,N
"30-10-2018 15:30:00",0.10,N,2.21,N
"30-10-2018 16:00:00",0.11,N,0.61,N
"30-10-2018 16:30:00",0.08,N,3.19,N
"30-10-2018 17:00:00",0.12,N,2.59,N
"30-10-2018 17:30:00",0.08,N,1.30,N
"30-10-2018 18:00:00",0.22,N,2.88,N
"30-10-2018 18:30:00",0.48,N,3.25,N
"30-10-2018 19:00:00",0.14,N,2.53,N
"30-10-2018 19:30:00",0.63,N,2.59,N
"30-10-2018 20:00:00",0.88,N,2.42,N
"30-10-2018 20:30:00",0.54,N,2.57,N
"30-10-2018 21:00:00",0.23,N,1.52,N
"30-10-2018 21:30:00",0.13,N,3.86,N
"30-10-2018 22:00:00",0.11,N,2.70,N
"30-10-2018 22:30:00",0.55,N,1.90,N
"30-10-2018 23:00:00",0.20,N,2.78,N
"30-10-2018 23:30:00",0.09,N,1.17,N
