"Electricity Read Date","Electricity Consumption","Electricity Consumption Estimated","Gas Consumption","Gas Consumption Estimated"
"01-11-2018 00:00:00",0.05,N,0.00,N
"01-11-2018 00:30:00",0.08,N,0.00,N
"01-11-2018 01:00:00",0.05,N,0.00,N
"01-11-2018 01:30:00",0.07,N,0.00,N
"01-11-2018 02:00:00",0.03,N,0.00,N
"01-11-2018 02:30:00",0.04,N,0.00,N
"01-11-2018 03:00:00",0.01,N,0.00,N
"01-11-2018 03:30:00",0.04,N,0.00,N
"01-11-2018 04:00:00",0.01,N,0.00,N
"01-11-2018 04:30:00",0.03,N,0.00,N
"01-11-2018 05:00:00",0.03,N,0.00,N
"01-11-2018 05:30:00",0.02,N,0.00,N
"01-11-2018 06:00:00",0.05,N,0.00,N
"01-11-2018 06:30:00",0.02,N,0.00,N
"01-11-2018 07:00:00",0.03,N,1.90,N
"01-11-2018 07:30:00",0.09,N,3.92,N
"01-11-2018 08:00:00",0.09,N,2.84,N
"01-11-2018 08:30:00",0.07,N,1.26,N
"01-11-2018 09:00:00",0.11,N,4.53,N
"01-11-2018 09:30:00",0.04,N,0.19,N
"01-11-2018 10:00:00",0.28,N,0.02,N
"01-11-2018 10:30:00",0.11,N,0.63,N
"01-11-2018 11:00:00",0.04,N,0.00,N
"01-11-2018 11:30:00",0.02,N,0.00,N
"01-11-2018 12:00:00",0.05,N,0.00,N
"01-11-2018 12:30:00",0.07,N,0.00,N
"01-11-2018 13:00:00",0.12,N,0.22,N
"01-11-2018 13:30:00",0.05,N,0.00,N
"01-11-2018 14:00:00",0.06,N,0.00,N
"01-11-2018 14:30:00",0.06,N,0.00,N
"01-11-2018 15:00:00",0.14,N,0.02,N
"01-11-2018 15:30:00",0.03,N,0.00,N
"01-11-2018 16:00:00",0.02,N,0.00,N
"01-11-2018 16:30:00",0.08,N,2.53,N
"01-11-2018 17:00:00",0.04,N,2.90,N
"01-11-2018 17:30:00",0.04,N,1.86,N
"01-11-2018 18:00:00",0.12,N,1.02,N
"01-11-2018 18:30:00",0.91,N,2.47,N
"01-11-2018 19:00:00",0.09,N,2.26,N
"01-11-2018 19:30:00",0.06,N,1.28,N
"01-11-2018 20:00:00",0.17,N,2.47,N
"01-11-2018 20:30:00",0.06,N,1.40,N
"01-11-2018 21:00:00",0.08,N,1.59,N
"01-11-2018 21:30:00",0.08,N,1.64,N
"01-11-2018 22:00:00",0.07,N,1.76,N
"01-11-2018 22:30:00",0.10,N,1.68,N
"01-11-2018 23:00:00",0.06,N,1.41,N
"01-11-2018 23:30:00",0.04,N,0.97,N
