"Electricity Read Date","Electricity Consumption","Electricity Consumption Estimated","Gas Consumption","Gas Consumption Estimated"
"18-10-2018 00:00:00",0.13,N,0.00,N
"18-10-2018 00:30:00",0.10,N,0.11,N
"18-10-2018 01:00:00",0.05,N,0.07,N
"18-10-2018 01:30:00",0.05,N,0.00,N
"18-10-2018 02:00:00",0.05,N,0.00,N
"18-10-2018 02:30:00",0.04,N,0.00,N
"18-10-2018 03:00:00",0.06,N,0.00,N
"18-10-2018 03:30:00",0.03,N,0.00,N
"18-10-2018 04:00:00",0.06,N,0.00,N
"18-10-2018 04:30:00",0.04,N,0.00,N
"18-10-2018 05:00:00",0.04,N,0.00,N
"18-10-2018 05:30:00",0.06,N,0.00,N
"18-10-2018 06:00:00",0.05,N,1.89,N
"18-10-2018 06:30:00",0.10,N,4.16,N
"18-10-2018 07:00:00",0.11,N,2.64,N
"18-10-2018 07:30:00",0.06,N,0.25,N
"18-10-2018 08:00:00",0.02,N,0.00,N
"18-10-2018 08:30:00",0.04,N,0.00,N
"18-10-2018 09:00:00",0.07,N,0.00,N
"18-10-2018 09:30:00",0.05,N,0.00,N
"18-10-2018 10:00:00",0.08,N,0.00,N
"18-10-2018 10:30:00",0.04,N,0.00,N
"18-10-2018 11:00:00",0.04,N,0.00,N
"18-10-2018 11:30:00",0.03,N,0.00,N
"18-10-2018 12:00:00",0.02,N,0.00,N
"18-10-2018 12:30:00",0.04,N,0.00,N
"18-10-2018 13:00:00",0.02,N,0.00,N
"18-10-2018 13:30:00",0.04,N,0.00,N
"18-10-2018 14:00:00",0.02,N,0.00,N
"18-10-2018 14:30:00",0.04,N,0.00,N
"18-10-2018 15:00:00",0.02,N,0.00,N
"18-10-2018 15:30:00",0.04,N,0.00,N
"18-10-2018 16:00:00",0.02,N,0.00,N
"18-10-2018 16:30:00",0.04,N,0.00,N
"18-10-2018 17:00:00",0.02,N,0.00,N
"18-10-2018 17:30:00",0.03,N,0.00,N
"18-10-2018 18:00:00",0.30,N,0.00,N
"18-10-2018 18:30:00",0.28,N,2.20,N
"18-10-2018 19:00:00",0.16,N,3.52,N
"18-10-2018 19:30:00",0.06,N,1.44,N
"18-10-2018 20:00:00",0.08,N,1.64,N
"18-10-2018 20:30:00",0.06,N,1.73,N
"18-10-2018 21:00:00",0.09,N,1.58,N
"18-10-2018 21:30:00",0.08,N,0.93,N
"18-10-2018 22:00:00",0.10,N,1.03,N
"18-10-2018 22:30:00",0.40,N,1.35,N
"18-10-2018 23:00:00",0.21,N,0.55,N
"18-10-2018 23:30:00",0.05,N,0.00,N
