"Electricity Read Date","Electricity Consumption","Electricity Consumption Estimated","Gas Consumption","Gas Consumption Estimated"
"19-10-2018 00:00:00",0.13,N,0.00,N
"19-10-2018 00:30:00",0.05,N,0.00,N
"19-10-2018 01:00:00",0.05,N,0.00,N
"19-10-2018 01:30:00",0.05,N,0.00,N
"19-10-2018 02:00:00",0.04,N,0.00,N
"19-10-2018 02:30:00",0.04,N,0.00,N
"19-10-2018 03:00:00",0.04,N,0.00,N
"19-10-2018 03:30:00",0.04,N,0.00,N
"19-10-2018 04:00:00",0.04,N,0.00,N
"19-10-2018 04:30:00",0.05,N,0.00,N
"19-10-2018 05:00:00",0.03,N,0.00,N
"19-10-2018 05:30:00",0.06,N,0.00,N
"19-10-2018 06:00:00",0.05,N,1.90,N
"19-10-2018 06:30:00",0.09,N,2.92,N
"19-10-2018 07:00:00",0.08,N,2.69,N
"19-10-2018 07:30:00",0.17,N,0.21,N
"19-10-2018 08:00:00",0.10,N,1.68,N
"19-10-2018 08:30:00",0.02,N,0.02,N
"19-10-2018 09:00:00",0.04,N,0.00,N
"19-10-2018 09:30:00",0.02,N,0.00,N
"19-10-2018 10:00:00",0.04,N,0.00,N
"19-10-2018 10:30:00",0.02,N,0.00,N
"19-10-2018 11:00:00",0.04,N,0.00,N
"19-10-2018 11:30:00",0.02,N,0.00,N
"19-10-2018 12:00:00",0.04,N,0.00,N
"19-10-2018 12:30:00",0.02,N,0.00,N
"19-10-2018 13:00:00",0.05,N,0.00,N
"19-10-2018 13:30:00",0.02,N,0.00,N
"19-10-2018 14:00:00",0.04,N,0.00,N
"19-10-2018 14:30:00",0.02,N,0.00,N
"19-10-2018 15:00:00",0.04,N,0.00,N
"19-10-2018 15:30:00",0.02,N,0.00,N
"19-10-2018 16:00:00",0.02,N,0.00,N
"19-10-2018 16:30:00",0.04,N,0.00,N
"19-10-2018 17:00:00",0.02,N,0.00,N
"19-10-2018 17:30:00",0.05,N,0.00,N
"19-10-2018 18:00:00",0.02,N,0.17,N
"19-10-2018 18:30:00",0.22,N,1.95,N
"19-10-2018 19:00:00",0.08,N,2.92,N
"19-10-2018 19:30:00",0.07,N,1.57,N
"19-10-2018 20:00:00",0.06,N,1.59,N
"19-10-2018 20:30:00",0.18,N,2.20,N
"19-10-2018 21:00:00",0.06,N,1.49,N
"19-10-2018 21:30:00",0.08,N,1.29,N
"19-10-2018 22:00:00",0.05,N,1.50,N
"19-10-2018 22:30:00",0.04,N,0.36,N
"19-10-2018 23:00:00",0.04,N,0.00,N
"19-10-2018 23:30:00",0.02,N,0.00,N
